A,B,Expected,Actual,PassFail,Coverage,DeltaCov,Time
10,9,1,1,PASS,15.72,15.72,15000
3,6,29,29,PASS,18.95,3.22,35000
7,7,0,0,PASS,34.67,15.72,55000
6,11,27,27,PASS,37.89,3.22,75000
13,14,31,31,PASS,41.11,3.22,95000
10,13,29,29,PASS,42.77,1.66,115000
5,11,26,26,PASS,44.43,1.66,135000
2,11,23,23,PASS,46.09,1.66,155000
9,2,7,7,PASS,49.32,3.22,175000
11,4,7,7,PASS,52.54,3.22,195000
1,5,28,28,PASS,55.76,3.22,215000
12,4,8,8,PASS,57.42,1.66,235000
14,0,14,14,PASS,60.64,3.22,255000
12,13,31,31,PASS,60.74,0.10,275000
4,14,22,22,PASS,62.40,1.66,295000
5,7,30,30,PASS,62.50,0.10,315000
8,13,27,27,PASS,64.16,1.66,335000
8,0,8,8,PASS,64.26,0.10,355000
12,13,31,31,PASS,64.26,0.00,375000
14,9,5,5,PASS,64.36,0.10,395000
3,15,20,20,PASS,66.02,1.66,415000
14,8,6,6,PASS,67.68,1.66,435000
2,11,23,23,PASS,67.68,0.00,455000
2,13,21,21,PASS,67.77,0.10,475000
9,14,27,27,PASS,67.87,0.10,495000
9,5,4,4,PASS,67.97,0.10,515000
13,13,0,0,PASS,68.07,0.10,535000
3,9,26,26,PASS,68.16,0.10,555000
7,14,25,25,PASS,68.26,0.10,575000
4,6,30,30,PASS,68.36,0.10,595000
13,13,0,0,PASS,68.36,0.00,615000
2,11,23,23,PASS,68.36,0.00,635000
2,11,23,23,PASS,68.36,0.00,655000
5,2,3,3,PASS,68.46,0.10,675000
4,12,24,24,PASS,70.12,1.66,695000
13,6,7,7,PASS,70.21,0.10,715000
13,5,8,8,PASS,70.31,0.10,735000
14,11,3,3,PASS,70.41,0.10,755000
0,5,27,27,PASS,72.07,1.66,775000
0,3,29,29,PASS,73.73,1.66,795000
14,11,3,3,PASS,73.73,0.00,815000
14,3,11,11,PASS,73.83,0.10,835000
10,0,10,10,PASS,73.93,0.10,855000
14,7,7,7,PASS,74.02,0.10,875000
9,1,8,8,PASS,75.68,1.66,895000
12,12,0,0,PASS,75.78,0.10,915000
7,12,27,27,PASS,75.88,0.10,935000
6,5,1,1,PASS,75.98,0.10,955000
2,0,2,2,PASS,76.07,0.10,975000
15,5,10,10,PASS,77.73,1.66,995000
4,11,25,25,PASS,77.83,0.10,1015000
13,10,3,3,PASS,79.49,1.66,1035000
10,11,31,31,PASS,79.59,0.10,1055000
8,3,5,5,PASS,79.69,0.10,1075000
9,8,1,1,PASS,79.79,0.10,1095000
11,3,8,8,PASS,79.88,0.10,1115000
13,4,9,9,PASS,79.98,0.10,1135000
2,7,27,27,PASS,80.08,0.10,1155000
14,3,11,11,PASS,80.08,0.00,1175000
12,9,3,3,PASS,80.18,0.10,1195000
6,12,26,26,PASS,80.27,0.10,1215000
11,14,29,29,PASS,80.37,0.10,1235000
11,5,6,6,PASS,80.47,0.10,1255000
9,12,29,29,PASS,80.57,0.10,1275000
4,0,4,4,PASS,80.66,0.10,1295000
11,4,7,7,PASS,80.66,0.00,1315000
13,3,10,10,PASS,80.76,0.10,1335000
12,15,29,29,PASS,80.86,0.10,1355000
1,6,27,27,PASS,80.96,0.10,1375000
7,0,7,7,PASS,81.05,0.10,1395000
2,14,20,20,PASS,81.15,0.10,1415000
3,13,22,22,PASS,81.25,0.10,1435000
2,12,22,22,PASS,81.35,0.10,1455000
13,4,9,9,PASS,81.35,0.00,1475000
7,7,0,0,PASS,81.35,0.00,1495000
4,1,3,3,PASS,81.45,0.10,1515000
14,9,5,5,PASS,81.45,0.00,1535000
11,5,6,6,PASS,81.45,0.00,1555000
10,13,29,29,PASS,81.45,0.00,1575000
15,11,4,4,PASS,81.54,0.10,1595000
6,12,26,26,PASS,81.54,0.00,1615000
10,15,27,27,PASS,81.64,0.10,1635000
8,13,27,27,PASS,81.64,0.00,1655000
9,14,27,27,PASS,81.64,0.00,1675000
14,6,8,8,PASS,81.74,0.10,1695000
8,11,29,29,PASS,81.84,0.10,1715000
6,3,3,3,PASS,81.93,0.10,1735000
10,10,0,0,PASS,82.03,0.10,1755000
1,14,19,19,PASS,82.13,0.10,1775000
3,1,2,2,PASS,82.23,0.10,1795000
4,3,1,1,PASS,82.32,0.10,1815000
10,2,8,8,PASS,82.42,0.10,1835000
0,0,0,0,PASS,82.52,0.10,1855000
13,5,8,8,PASS,82.52,0.00,1875000
4,6,30,30,PASS,82.52,0.00,1895000
4,6,30,30,PASS,82.52,0.00,1915000
0,9,23,23,PASS,82.62,0.10,1935000
3,1,2,2,PASS,82.62,0.00,1955000
15,13,2,2,PASS,82.71,0.10,1975000
6,5,1,1,PASS,82.71,0.00,1995000
10,7,3,3,PASS,82.81,0.10,2015000
7,9,30,30,PASS,82.91,0.10,2035000
6,8,30,30,PASS,83.01,0.10,2055000
8,12,28,28,PASS,83.11,0.10,2075000
4,8,28,28,PASS,83.20,0.10,2095000
15,11,4,4,PASS,83.20,0.00,2115000
14,1,13,13,PASS,83.30,0.10,2135000
1,2,31,31,PASS,83.40,0.10,2155000
4,2,2,2,PASS,83.50,0.10,2175000
13,0,13,13,PASS,83.59,0.10,2195000
13,8,5,5,PASS,83.69,0.10,2215000
12,9,3,3,PASS,83.69,0.00,2235000
9,15,26,26,PASS,83.79,0.10,2255000
13,3,10,10,PASS,83.79,0.00,2275000
9,5,4,4,PASS,83.79,0.00,2295000
9,13,28,28,PASS,83.89,0.10,2315000
7,9,30,30,PASS,83.89,0.00,2335000
10,11,31,31,PASS,83.89,0.00,2355000
2,10,24,24,PASS,83.98,0.10,2375000
9,14,27,27,PASS,83.98,0.00,2395000
14,6,8,8,PASS,83.98,0.00,2415000
1,1,0,0,PASS,84.08,0.10,2435000
13,5,8,8,PASS,84.08,0.00,2455000
11,4,7,7,PASS,84.08,0.00,2475000
12,4,8,8,PASS,84.08,0.00,2495000
9,6,3,3,PASS,84.18,0.10,2515000
9,14,27,27,PASS,84.18,0.00,2535000
11,11,0,0,PASS,84.28,0.10,2555000
12,5,7,7,PASS,84.38,0.10,2575000
8,11,29,29,PASS,84.38,0.00,2595000
13,0,13,13,PASS,84.38,0.00,2615000
13,9,4,4,PASS,84.47,0.10,2635000
8,7,1,1,PASS,84.57,0.10,2655000
8,2,6,6,PASS,84.67,0.10,2675000
7,12,27,27,PASS,84.67,0.00,2695000
0,0,0,0,PASS,84.67,0.00,2715000
4,7,29,29,PASS,84.77,0.10,2735000
6,6,0,0,PASS,84.86,0.10,2755000
12,0,12,12,PASS,84.96,0.10,2775000
6,4,2,2,PASS,85.06,0.10,2795000
14,11,3,3,PASS,85.06,0.00,2815000
9,10,31,31,PASS,85.16,0.10,2835000
1,4,29,29,PASS,85.25,0.10,2855000
14,1,13,13,PASS,85.25,0.00,2875000
13,6,7,7,PASS,85.25,0.00,2895000
4,1,3,3,PASS,85.25,0.00,2915000
2,2,0,0,PASS,85.35,0.10,2935000
8,14,26,26,PASS,85.45,0.10,2955000
2,0,2,2,PASS,85.45,0.00,2975000
7,14,25,25,PASS,85.45,0.00,2995000
1,6,27,27,PASS,85.45,0.00,3015000
12,1,11,11,PASS,85.55,0.10,3035000
13,9,4,4,PASS,85.55,0.00,3055000
8,5,3,3,PASS,85.64,0.10,3075000
7,12,27,27,PASS,85.64,0.00,3095000
7,7,0,0,PASS,85.64,0.00,3115000
12,6,6,6,PASS,85.74,0.10,3135000
4,11,25,25,PASS,85.74,0.00,3155000
2,14,20,20,PASS,85.74,0.00,3175000
10,11,31,31,PASS,85.74,0.00,3195000
3,9,26,26,PASS,85.74,0.00,3215000
7,6,1,1,PASS,85.84,0.10,3235000
5,4,1,1,PASS,85.94,0.10,3255000
5,15,22,22,PASS,86.04,0.10,3275000
1,12,21,21,PASS,86.13,0.10,3295000
15,12,3,3,PASS,86.23,0.10,3315000
13,8,5,5,PASS,86.23,0.00,3335000
11,3,8,8,PASS,86.23,0.00,3355000
5,6,31,31,PASS,86.33,0.10,3375000
5,0,5,5,PASS,86.43,0.10,3395000
1,8,25,25,PASS,86.52,0.10,3415000
12,4,8,8,PASS,86.52,0.00,3435000
5,1,4,4,PASS,86.62,0.10,3455000
6,6,0,0,PASS,86.62,0.00,3475000
10,10,0,0,PASS,86.62,0.00,3495000
2,10,24,24,PASS,86.62,0.00,3515000
12,7,5,5,PASS,86.72,0.10,3535000
10,11,31,31,PASS,86.72,0.00,3555000
7,6,1,1,PASS,86.72,0.00,3575000
13,11,2,2,PASS,86.82,0.10,3595000
15,12,3,3,PASS,86.82,0.00,3615000
7,0,7,7,PASS,86.82,0.00,3635000
4,9,27,27,PASS,86.91,0.10,3655000
6,5,1,1,PASS,86.91,0.00,3675000
14,7,7,7,PASS,86.91,0.00,3695000
4,0,4,4,PASS,86.91,0.00,3715000
0,6,26,26,PASS,87.01,0.10,3735000
12,1,11,11,PASS,87.01,0.00,3755000
12,7,5,5,PASS,87.01,0.00,3775000
7,2,5,5,PASS,87.11,0.10,3795000
14,8,6,6,PASS,87.11,0.00,3815000
11,7,4,4,PASS,87.21,0.10,3835000
6,12,26,26,PASS,87.21,0.00,3855000
2,4,30,30,PASS,87.30,0.10,3875000
13,8,5,5,PASS,87.30,0.00,3895000
7,13,26,26,PASS,87.40,0.10,3915000
12,15,29,29,PASS,87.40,0.00,3935000
13,15,30,30,PASS,87.50,0.10,3955000
7,11,28,28,PASS,87.60,0.10,3975000
6,12,26,26,PASS,87.60,0.00,3995000
13,3,10,10,PASS,87.60,0.00,4015000
0,2,30,30,PASS,87.70,0.10,4035000
8,6,2,2,PASS,87.79,0.10,4055000
9,3,6,6,PASS,87.89,0.10,4075000
15,9,6,6,PASS,87.99,0.10,4095000
7,9,30,30,PASS,87.99,0.00,4115000
4,3,1,1,PASS,87.99,0.00,4135000
9,5,4,4,PASS,87.99,0.00,4155000
7,2,5,5,PASS,87.99,0.00,4175000
11,6,5,5,PASS,88.09,0.10,4195000
0,10,22,22,PASS,88.18,0.10,4215000
13,0,13,13,PASS,88.18,0.00,4235000
14,12,2,2,PASS,88.28,0.10,4255000
8,11,29,29,PASS,88.28,0.00,4275000
10,8,2,2,PASS,88.38,0.10,4295000
1,13,20,20,PASS,88.48,0.10,4315000
12,2,10,10,PASS,88.57,0.10,4335000
13,3,10,10,PASS,88.57,0.00,4355000
4,12,24,24,PASS,88.57,0.00,4375000
6,11,27,27,PASS,88.57,0.00,4395000
11,0,11,11,PASS,88.67,0.10,4415000
0,6,26,26,PASS,88.67,0.00,4435000
1,2,31,31,PASS,88.67,0.00,4455000
2,10,24,24,PASS,88.67,0.00,4475000
2,0,2,2,PASS,88.67,0.00,4495000
3,6,29,29,PASS,88.67,0.00,4515000
8,5,3,3,PASS,88.67,0.00,4535000
14,6,8,8,PASS,88.67,0.00,4555000
10,4,6,6,PASS,88.77,0.10,4575000
8,12,28,28,PASS,88.77,0.00,4595000
9,7,2,2,PASS,88.87,0.10,4615000
3,3,0,0,PASS,88.96,0.10,4635000
0,7,25,25,PASS,89.06,0.10,4655000
15,0,15,15,PASS,89.16,0.10,4675000
11,4,7,7,PASS,89.16,0.00,4695000
12,8,4,4,PASS,89.26,0.10,4715000
2,5,29,29,PASS,89.36,0.10,4735000
4,10,26,26,PASS,89.45,0.10,4755000
8,8,0,0,PASS,89.55,0.10,4775000
12,4,8,8,PASS,89.55,0.00,4795000
3,5,30,30,PASS,89.65,0.10,4815000
14,6,8,8,PASS,89.65,0.00,4835000
2,11,23,23,PASS,89.65,0.00,4855000
1,8,25,25,PASS,89.65,0.00,4875000
15,13,2,2,PASS,89.65,0.00,4895000
10,13,29,29,PASS,89.65,0.00,4915000
7,3,4,4,PASS,89.75,0.10,4935000
5,9,28,28,PASS,89.84,0.10,4955000
5,10,27,27,PASS,89.94,0.10,4975000
10,6,4,4,PASS,90.04,0.10,4995000
0,4,28,28,PASS,90.14,0.10,5015000
10,1,9,9,PASS,90.23,0.10,5035000
0,15,17,17,PASS,90.33,0.10,5055000
9,4,5,5,PASS,90.43,0.10,5075000
8,1,7,7,PASS,90.53,0.10,5095000
13,9,4,4,PASS,90.53,0.00,5115000
7,8,31,31,PASS,90.62,0.10,5135000
13,6,7,7,PASS,90.62,0.00,5155000
10,10,0,0,PASS,90.62,0.00,5175000
13,15,30,30,PASS,90.62,0.00,5195000
12,11,1,1,PASS,90.72,0.10,5215000
15,11,4,4,PASS,90.72,0.00,5235000
9,14,27,27,PASS,90.72,0.00,5255000
9,2,7,7,PASS,90.72,0.00,5275000
7,14,25,25,PASS,90.72,0.00,5295000
13,5,8,8,PASS,90.72,0.00,5315000
10,1,9,9,PASS,90.72,0.00,5335000
0,8,24,24,PASS,90.82,0.10,5355000
1,7,26,26,PASS,90.92,0.10,5375000
12,12,0,0,PASS,90.92,0.00,5395000
2,4,30,30,PASS,90.92,0.00,5415000
11,8,3,3,PASS,91.02,0.10,5435000
1,7,26,26,PASS,91.02,0.00,5455000
6,6,0,0,PASS,91.02,0.00,5475000
11,14,29,29,PASS,91.02,0.00,5495000
1,9,24,24,PASS,91.11,0.10,5515000
2,4,30,30,PASS,91.11,0.00,5535000
13,3,10,10,PASS,91.11,0.00,5555000
15,6,9,9,PASS,91.21,0.10,5575000
0,1,31,31,PASS,91.31,0.10,5595000
14,11,3,3,PASS,91.31,0.00,5615000
10,14,28,28,PASS,91.41,0.10,5635000
0,9,23,23,PASS,91.41,0.00,5655000
9,8,1,1,PASS,91.41,0.00,5675000
15,12,3,3,PASS,91.41,0.00,5695000
10,8,2,2,PASS,91.41,0.00,5715000
14,11,3,3,PASS,91.41,0.00,5735000
3,10,25,25,PASS,91.50,0.10,5755000
3,0,3,3,PASS,91.60,0.10,5775000
1,5,28,28,PASS,91.60,0.00,5795000
9,11,30,30,PASS,91.70,0.10,5815000
2,10,24,24,PASS,91.70,0.00,5835000
7,10,29,29,PASS,91.80,0.10,5855000
13,6,7,7,PASS,91.80,0.00,5875000
12,1,11,11,PASS,91.80,0.00,5895000
12,9,3,3,PASS,91.80,0.00,5915000
0,15,17,17,PASS,91.80,0.00,5935000
11,8,3,3,PASS,91.80,0.00,5955000
7,1,6,6,PASS,91.89,0.10,5975000
10,15,27,27,PASS,91.89,0.00,5995000
0,12,20,20,PASS,91.99,0.10,6015000
9,5,4,4,PASS,91.99,0.00,6035000
1,7,26,26,PASS,91.99,0.00,6055000
5,12,25,25,PASS,92.09,0.10,6075000
4,7,29,29,PASS,92.09,0.00,6095000
1,12,21,21,PASS,92.09,0.00,6115000
14,11,3,3,PASS,92.09,0.00,6135000
5,2,3,3,PASS,92.09,0.00,6155000
1,14,19,19,PASS,92.09,0.00,6175000
4,14,22,22,PASS,92.09,0.00,6195000
10,13,29,29,PASS,92.09,0.00,6215000
13,10,3,3,PASS,92.09,0.00,6235000
0,1,31,31,PASS,92.09,0.00,6255000
14,0,14,14,PASS,92.09,0.00,6275000
6,14,24,24,PASS,92.19,0.10,6295000
3,13,22,22,PASS,92.19,0.00,6315000
5,2,3,3,PASS,92.19,0.00,6335000
10,14,28,28,PASS,92.19,0.00,6355000
15,3,12,12,PASS,92.29,0.10,6375000
9,8,1,1,PASS,92.29,0.00,6395000
9,1,8,8,PASS,92.29,0.00,6415000
2,13,21,21,PASS,92.29,0.00,6435000
13,9,4,4,PASS,92.29,0.00,6455000
0,11,21,21,PASS,92.38,0.10,6475000
1,12,21,21,PASS,92.38,0.00,6495000
5,14,23,23,PASS,92.48,0.10,6515000
14,0,14,14,PASS,92.48,0.00,6535000
1,0,1,1,PASS,92.58,0.10,6555000
9,3,6,6,PASS,92.58,0.00,6575000
9,1,8,8,PASS,92.58,0.00,6595000
6,10,28,28,PASS,92.68,0.10,6615000
14,10,4,4,PASS,92.77,0.10,6635000
4,8,28,28,PASS,92.77,0.00,6655000
2,11,23,23,PASS,92.77,0.00,6675000
14,12,2,2,PASS,92.77,0.00,6695000
1,7,26,26,PASS,92.77,0.00,6715000
4,2,2,2,PASS,92.77,0.00,6735000
3,12,23,23,PASS,92.87,0.10,6755000
1,9,24,24,PASS,92.87,0.00,6775000
4,15,21,21,PASS,92.97,0.10,6795000
9,3,6,6,PASS,92.97,0.00,6815000
3,1,2,2,PASS,92.97,0.00,6835000
6,2,4,4,PASS,93.07,0.10,6855000
12,6,6,6,PASS,93.07,0.00,6875000
9,6,3,3,PASS,93.07,0.00,6895000
4,2,2,2,PASS,93.07,0.00,6915000
8,4,4,4,PASS,93.16,0.10,6935000
13,5,8,8,PASS,93.16,0.00,6955000
12,10,2,2,PASS,93.26,0.10,6975000
8,12,28,28,PASS,93.26,0.00,6995000
10,6,4,4,PASS,93.26,0.00,7015000
11,9,2,2,PASS,93.36,0.10,7035000
0,1,31,31,PASS,93.36,0.00,7055000
10,15,27,27,PASS,93.36,0.00,7075000
4,5,31,31,PASS,93.46,0.10,7095000
14,1,13,13,PASS,93.46,0.00,7115000
4,10,26,26,PASS,93.46,0.00,7135000
10,13,29,29,PASS,93.46,0.00,7155000
12,6,6,6,PASS,93.46,0.00,7175000
5,12,25,25,PASS,93.46,0.00,7195000
6,14,24,24,PASS,93.46,0.00,7215000
6,13,25,25,PASS,93.55,0.10,7235000
5,2,3,3,PASS,93.55,0.00,7255000
10,12,30,30,PASS,93.65,0.10,7275000
0,0,0,0,PASS,93.65,0.00,7295000
0,5,27,27,PASS,93.65,0.00,7315000
0,7,25,25,PASS,93.65,0.00,7335000
0,6,26,26,PASS,93.65,0.00,7355000
2,2,0,0,PASS,93.65,0.00,7375000
13,0,13,13,PASS,93.65,0.00,7395000
9,15,26,26,PASS,93.65,0.00,7415000
14,0,14,14,PASS,93.65,0.00,7435000
7,3,4,4,PASS,93.65,0.00,7455000
10,5,5,5,PASS,93.75,0.10,7475000
5,2,3,3,PASS,93.75,0.00,7495000
3,6,29,29,PASS,93.75,0.00,7515000
1,1,0,0,PASS,93.75,0.00,7535000
7,10,29,29,PASS,93.75,0.00,7555000
15,3,12,12,PASS,93.75,0.00,7575000
13,14,31,31,PASS,93.75,0.00,7595000
11,6,5,5,PASS,93.75,0.00,7615000
12,14,30,30,PASS,93.85,0.10,7635000
5,15,22,22,PASS,93.85,0.00,7655000
1,5,28,28,PASS,93.85,0.00,7675000
14,2,12,12,PASS,93.95,0.10,7695000
3,12,23,23,PASS,93.95,0.00,7715000
3,6,29,29,PASS,93.95,0.00,7735000
2,5,29,29,PASS,93.95,0.00,7755000
9,5,4,4,PASS,93.95,0.00,7775000
7,12,27,27,PASS,93.95,0.00,7795000
15,13,2,2,PASS,93.95,0.00,7815000
15,8,7,7,PASS,94.04,0.10,7835000
8,12,28,28,PASS,94.04,0.00,7855000
0,0,0,0,PASS,94.04,0.00,7875000
0,15,17,17,PASS,94.04,0.00,7895000
10,9,1,1,PASS,94.04,0.00,7915000
0,6,26,26,PASS,94.04,0.00,7935000
12,3,9,9,PASS,94.14,0.10,7955000
11,15,28,28,PASS,94.24,0.10,7975000
13,8,5,5,PASS,94.24,0.00,7995000
8,8,0,0,PASS,94.24,0.00,8015000
7,0,7,7,PASS,94.24,0.00,8035000
11,3,8,8,PASS,94.24,0.00,8055000
12,13,31,31,PASS,94.24,0.00,8075000
0,13,19,19,PASS,94.34,0.10,8095000
1,9,24,24,PASS,94.34,0.00,8115000
14,9,5,5,PASS,94.34,0.00,8135000
2,12,22,22,PASS,94.34,0.00,8155000
12,14,30,30,PASS,94.34,0.00,8175000
13,11,2,2,PASS,94.34,0.00,8195000
9,3,6,6,PASS,94.34,0.00,8215000
0,7,25,25,PASS,94.34,0.00,8235000
5,6,31,31,PASS,94.34,0.00,8255000
1,12,21,21,PASS,94.34,0.00,8275000
10,4,6,6,PASS,94.34,0.00,8295000
7,6,1,1,PASS,94.34,0.00,8315000
5,4,1,1,PASS,94.34,0.00,8335000
10,0,10,10,PASS,94.34,0.00,8355000
7,15,24,24,PASS,94.43,0.10,8375000
0,3,29,29,PASS,94.43,0.00,8395000
10,3,7,7,PASS,94.53,0.10,8415000
11,15,28,28,PASS,94.53,0.00,8435000
11,4,7,7,PASS,94.53,0.00,8455000
10,5,5,5,PASS,94.53,0.00,8475000
15,5,10,10,PASS,94.53,0.00,8495000
2,7,27,27,PASS,94.53,0.00,8515000
3,13,22,22,PASS,94.53,0.00,8535000
5,3,2,2,PASS,94.63,0.10,8555000
7,1,6,6,PASS,94.63,0.00,8575000
9,8,1,1,PASS,94.63,0.00,8595000
1,4,29,29,PASS,94.63,0.00,8615000
15,11,4,4,PASS,94.63,0.00,8635000
8,10,30,30,PASS,94.73,0.10,8655000
5,9,28,28,PASS,94.73,0.00,8675000
13,7,6,6,PASS,94.82,0.10,8695000
8,9,31,31,PASS,94.92,0.10,8715000
0,2,30,30,PASS,94.92,0.00,8735000
3,6,29,29,PASS,94.92,0.00,8755000
9,9,0,0,PASS,95.02,0.10,8775000
11,7,4,4,PASS,95.02,0.00,8795000
0,1,31,31,PASS,95.02,0.00,8815000
6,9,29,29,PASS,95.12,0.10,8835000
4,10,26,26,PASS,95.12,0.00,8855000
10,2,8,8,PASS,95.12,0.00,8875000
6,3,3,3,PASS,95.12,0.00,8895000
14,8,6,6,PASS,95.12,0.00,8915000
5,8,29,29,PASS,95.21,0.10,8935000
12,7,5,5,PASS,95.21,0.00,8955000
13,8,5,5,PASS,95.21,0.00,8975000
4,10,26,26,PASS,95.21,0.00,8995000
8,0,8,8,PASS,95.21,0.00,9015000
6,13,25,25,PASS,95.21,0.00,9035000
3,2,1,1,PASS,95.31,0.10,9055000
0,8,24,24,PASS,95.31,0.00,9075000
11,7,4,4,PASS,95.31,0.00,9095000
2,2,0,0,PASS,95.31,0.00,9115000
2,10,24,24,PASS,95.31,0.00,9135000
13,5,8,8,PASS,95.31,0.00,9155000
2,3,31,31,PASS,95.41,0.10,9175000
4,5,31,31,PASS,95.41,0.00,9195000
15,1,14,14,PASS,95.51,0.10,9215000
10,13,29,29,PASS,95.51,0.00,9235000
4,14,22,22,PASS,95.51,0.00,9255000
13,8,5,5,PASS,95.51,0.00,9275000
4,15,21,21,PASS,95.51,0.00,9295000
12,4,8,8,PASS,95.51,0.00,9315000
1,8,25,25,PASS,95.51,0.00,9335000
11,14,29,29,PASS,95.51,0.00,9355000
10,10,0,0,PASS,95.51,0.00,9375000
0,12,20,20,PASS,95.51,0.00,9395000
6,6,0,0,PASS,95.51,0.00,9415000
6,10,28,28,PASS,95.51,0.00,9435000
10,10,0,0,PASS,95.51,0.00,9455000
10,0,10,10,PASS,95.51,0.00,9475000
10,1,9,9,PASS,95.51,0.00,9495000
6,13,25,25,PASS,95.51,0.00,9515000
10,13,29,29,PASS,95.51,0.00,9535000
9,13,28,28,PASS,95.51,0.00,9555000
7,14,25,25,PASS,95.51,0.00,9575000
5,12,25,25,PASS,95.51,0.00,9595000
12,11,1,1,PASS,95.51,0.00,9615000
15,11,4,4,PASS,95.51,0.00,9635000
1,0,1,1,PASS,95.51,0.00,9655000
11,4,7,7,PASS,95.51,0.00,9675000
9,6,3,3,PASS,95.51,0.00,9695000
7,0,7,7,PASS,95.51,0.00,9715000
5,13,24,24,PASS,95.61,0.10,9735000
14,3,11,11,PASS,95.61,0.00,9755000
9,12,29,29,PASS,95.61,0.00,9775000
12,11,1,1,PASS,95.61,0.00,9795000
6,11,27,27,PASS,95.61,0.00,9815000
11,13,30,30,PASS,95.70,0.10,9835000
8,3,5,5,PASS,95.70,0.00,9855000
9,2,7,7,PASS,95.70,0.00,9875000
3,7,28,28,PASS,95.80,0.10,9895000
4,13,23,23,PASS,95.90,0.10,9915000
15,7,8,8,PASS,96.00,0.10,9935000
12,12,0,0,PASS,96.00,0.00,9955000
3,1,2,2,PASS,96.00,0.00,9975000
15,3,12,12,PASS,96.00,0.00,9995000
